"","Date","SPY.Close","SPY.Volume"
"2025-03-17",2025-03-17,567.150024414062,49.0087
"2025-03-18",2025-03-18,561.02001953125,66.0414
"2025-03-19",2025-03-19,567.130004882812,66.556
"2025-03-20",2025-03-20,565.489990234375,62.9582
"2025-03-21",2025-03-21,563.97998046875,83.763
"2025-03-24",2025-03-24,574.080017089844,58.7668
"2025-03-25",2025-03-25,575.460021972656,38.3557
"2025-03-26",2025-03-26,568.590026855469,51.8483
"2025-03-27",2025-03-27,567.080017089844,42.1642
"2025-03-28",2025-03-28,555.659973144531,71.6627
"2025-03-31",2025-03-31,559.390014648438,95.3282
"2025-04-01",2025-04-01,560.969970703125,54.6096
"2025-04-02",2025-04-02,564.52001953125,76.0145
"2025-04-03",2025-04-03,536.700012207031,125.986
"2025-04-04",2025-04-04,505.279998779297,217.9651
"2025-04-07",2025-04-07,504.380004882812,256.6114
"2025-04-08",2025-04-08,496.480010986328,165.8166
"2025-04-09",2025-04-09,548.619995117188,241.8673
"2025-04-10",2025-04-10,524.580017089844,162.3312
"2025-04-11",2025-04-11,533.940002441406,97.8663
"2025-04-14",2025-04-14,539.119995117188,68.034
"2025-04-15",2025-04-15,537.609985351562,56.8929
"2025-04-16",2025-04-16,525.659973144531,83.4848
"2025-04-17",2025-04-17,526.409973144531,79.8681
"2025-04-21",2025-04-21,513.880004882812,69.3681
"2025-04-22",2025-04-22,527.25,75.9481
"2025-04-23",2025-04-23,535.419982910156,90.5907
"2025-04-24",2025-04-24,546.690002441406,64.1504
"2025-04-25",2025-04-25,550.640014648438,61.1196
"2025-04-28",2025-04-28,550.849975585938,47.6138
"2025-04-29",2025-04-29,554.320007324219,47.7751
"2025-04-30",2025-04-30,554.539978027344,93.1015
"2025-05-01",2025-05-01,558.469970703125,63.1861
"2025-05-02",2025-05-02,566.760009765625,60.7173
"2025-05-05",2025-05-05,563.510009765625,38.6592
"2025-05-06",2025-05-06,558.799987792969,48.2647
"2025-05-07",2025-05-07,561.150024414062,55.588
"2025-05-08",2025-05-08,565.059997558594,65.1308
"2025-05-09",2025-05-09,564.340026855469,37.6034
"2025-05-12",2025-05-12,582.989990234375,78.9936
"2025-05-13",2025-05-13,586.840026855469,67.9472
"2025-05-14",2025-05-14,587.590026855469,66.2835
"2025-05-15",2025-05-15,590.460021972656,71.2681
"2025-05-16",2025-05-16,594.200012207031,76.0521
"2025-05-19",2025-05-19,594.849975585938,68.1685
"2025-05-20",2025-05-20,592.849975585938,60.6145
"2025-05-21",2025-05-21,582.859985351562,95.1977
"2025-05-22",2025-05-22,583.090026855469,70.8604
"2025-05-23",2025-05-23,579.109985351562,76.029
"2025-05-27",2025-05-27,591.150024414062,72.5885
"2025-05-28",2025-05-28,587.72998046875,68.4455
"2025-05-29",2025-05-29,590.049987792969,69.9733
"2025-05-30",2025-05-30,589.390014648438,90.6012
"2025-06-02",2025-06-02,592.710021972656,61.6305
"2025-06-03",2025-06-03,596.090026855469,63.6062
"2025-06-04",2025-06-04,595.929992675781,57.3142
"2025-06-05",2025-06-05,593.049987792969,92.2787
"2025-06-06",2025-06-06,599.140014648438,66.5887
"2025-06-09",2025-06-09,599.679992675781,53.0164
"2025-06-10",2025-06-10,603.080017089844,66.247
"2025-06-11",2025-06-11,601.359985351562,73.6582
"2025-06-12",2025-06-12,603.75,64.129
"2025-06-13",2025-06-13,597,89.506
"2025-06-16",2025-06-16,602.679992675781,79.9841
"2025-06-17",2025-06-17,597.530029296875,82.2094
"2025-06-18",2025-06-18,597.440002441406,76.605
"2025-06-20",2025-06-20,594.280029296875,94.0514
"2025-06-23",2025-06-23,600.150024414062,87.426
"2025-06-24",2025-06-24,606.780029296875,67.7353
"2025-06-25",2025-06-25,607.119995117188,62.1148
"2025-06-26",2025-06-26,611.869995117188,78.5484
"2025-06-27",2025-06-27,614.909973144531,86.2584
"2025-06-30",2025-06-30,617.849975585938,92.5025
"2025-07-01",2025-07-01,617.650024414062,70.0301
"2025-07-02",2025-07-02,620.450012207031,66.5104
"2025-07-03",2025-07-03,625.340026855469,51.0658
"2025-07-07",2025-07-07,620.679992675781,74.8145
"2025-07-08",2025-07-08,620.340026855469,59.0246
"2025-07-09",2025-07-09,624.059997558594,66.1133
"2025-07-10",2025-07-10,625.820007324219,57.529
"2025-07-11",2025-07-11,623.619995117188,63.6702
"2025-07-14",2025-07-14,624.809997558594,51.8985
"2025-07-15",2025-07-15,622.140014648438,74.3173
"2025-07-16",2025-07-16,624.219970703125,88.9875
"2025-07-17",2025-07-17,628.039978027344,68.8857
"2025-07-18",2025-07-18,627.580017089844,65.6216
"2025-07-21",2025-07-21,628.77001953125,63.375
"2025-07-22",2025-07-22,628.859985351562,60.0463
"2025-07-23",2025-07-23,634.210021972656,70.511
"2025-07-24",2025-07-24,634.419982910156,71.3071
"2025-07-25",2025-07-25,637.099975585938,56.8654
"2025-07-28",2025-07-28,636.940002441406,54.9171
"2025-07-29",2025-07-29,635.260009765625,60.5563
"2025-07-30",2025-07-30,634.460021972656,80.4189
"2025-07-31",2025-07-31,632.080017089844,103.3852
"2025-08-01",2025-08-01,621.719970703125,140.1036
"2025-08-04",2025-08-04,631.169982910156,73.218
"2025-08-05",2025-08-05,627.969970703125,68.0514
"2025-08-06",2025-08-06,632.780029296875,64.3575
"2025-08-07",2025-08-07,632.25,74.2058
"2025-08-08",2025-08-08,637.179992675781,64.0516
"2025-08-11",2025-08-11,635.919982910156,58.7423
"2025-08-12",2025-08-12,642.690002441406,64.7308
"2025-08-13",2025-08-13,644.890014648438,60.0928
"2025-08-14",2025-08-14,644.950012207031,59.3275
"2025-08-15",2025-08-15,643.440002441406,68.5925
"2025-08-18",2025-08-18,643.299987792969,43.8049
"2025-08-19",2025-08-19,639.809997558594,69.7507
"2025-08-20",2025-08-20,638.109985351562,88.8903
"2025-08-21",2025-08-21,635.549987792969,54.8058
"2025-08-22",2025-08-22,645.309997558594,84.0832
"2025-08-25",2025-08-25,642.469970703125,51.2743
"2025-08-26",2025-08-26,645.159973144531,51.5816
"2025-08-27",2025-08-27,646.630004882812,48.3411
"2025-08-28",2025-08-28,648.919982910156,61.5195
"2025-08-29",2025-08-29,645.049987792969,74.5222
"2025-09-02",2025-09-02,640.27001953125,81.9835
"2025-09-03",2025-09-03,643.739990234375,70.8209
"2025-09-04",2025-09-04,649.119995117188,65.2192
"2025-09-05",2025-09-05,647.239990234375,85.1789
"2025-09-08",2025-09-08,648.830017089844,63.1331
"2025-09-09",2025-09-09,650.330017089844,66.1339
"2025-09-10",2025-09-10,652.210021972656,78.0345
"2025-09-11",2025-09-11,657.630004882812,69.9344
"2025-09-12",2025-09-12,657.409973144531,72.7801
"2025-09-15",2025-09-15,660.909973144531,63.7724
"2025-09-16",2025-09-16,660,61.169
"2025-09-17",2025-09-17,659.179992675781,101.9522
"2025-09-18",2025-09-18,662.260009765625,90.4592
"2025-09-19",2025-09-19,663.700012207031,97.9456
"2025-09-22",2025-09-22,666.840026855469,69.4522
"2025-09-23",2025-09-23,663.210021972656,81.7089
"2025-09-24",2025-09-24,661.099975585938,68.0822
"2025-09-25",2025-09-25,658.049987792969,89.6221
"2025-09-26",2025-09-26,661.820007324219,69.1792
"2025-09-29",2025-09-29,663.679992675781,73.499
"2025-09-30",2025-09-30,666.179992675781,86.288
"2025-10-01",2025-10-01,668.450012207031,72.5454
"2025-10-02",2025-10-02,669.219970703125,56.896
"2025-10-03",2025-10-03,669.210021972656,70.4944
"2025-10-06",2025-10-06,671.609985351562,54.6233
"2025-10-07",2025-10-07,669.119995117188,72.0201
"2025-10-08",2025-10-08,673.109985351562,60.7022
"2025-10-09",2025-10-09,671.159973144531,66.5019
"2025-10-10",2025-10-10,653.02001953125,159.4226
"2025-10-13",2025-10-13,663.039978027344,79.5605
"2025-10-14",2025-10-14,662.22998046875,88.7796
"2025-10-15",2025-10-15,665.169982910156,81.7026
"2025-10-16",2025-10-16,660.640014648438,110.5633
"2025-10-17",2025-10-17,664.390014648438,96.5009
"2025-10-20",2025-10-20,671.299987792969,60.4934
"2025-10-21",2025-10-21,671.289978027344,56.249
"2025-10-22",2025-10-22,667.799987792969,80.564
"2025-10-23",2025-10-23,671.760009765625,65.6045
"2025-10-24",2025-10-24,677.25,74.3565
"2025-10-27",2025-10-27,685.239990234375,63.3398
"2025-10-28",2025-10-28,687.059997558594,61.7381
"2025-10-29",2025-10-29,687.390014648438,85.6571
"2025-10-30",2025-10-30,679.830017089844,76.3358
"2025-10-31",2025-10-31,682.059997558594,87.1641
"2025-11-03",2025-11-03,683.340026855469,57.315
"2025-11-04",2025-11-04,675.239990234375,78.427
"2025-11-05",2025-11-05,677.580017089844,74.4024
"2025-11-06",2025-11-06,670.309997558594,85.0353
"2025-11-07",2025-11-07,670.969970703125,100.5924
"2025-11-10",2025-11-10,681.440002441406,75.8429
"2025-11-11",2025-11-11,683,58.9534
"2025-11-12",2025-11-12,683.380004882812,62.3125
"2025-11-13",2025-11-13,672.039978027344,103.4578
"2025-11-14",2025-11-14,671.929992675781,96.8467
"2025-11-17",2025-11-17,665.669982910156,90.4561
"2025-11-18",2025-11-18,660.080017089844,114.4675
"2025-11-19",2025-11-19,662.630004882812,94.703
"2025-11-20",2025-11-20,652.530029296875,165.2935
"2025-11-21",2025-11-21,659.030029296875,123.9562
"2025-11-24",2025-11-24,668.72998046875,80.4379
"2025-11-25",2025-11-25,675.02001953125,81.0771
"2025-11-26",2025-11-26,679.679992675781,71.8796
"2025-11-28",2025-11-28,683.390014648438,49.212
"2025-12-01",2025-12-01,680.27001953125,61.2012
"2025-12-02",2025-12-02,681.530029296875,62.9538
"2025-12-03",2025-12-03,683.890014648438,57.2385
"2025-12-04",2025-12-04,684.390014648438,61.9703
"2025-12-05",2025-12-05,685.690002441406,79.241
"2025-12-08",2025-12-08,683.630004882812,55.2315
"2025-12-09",2025-12-09,683.039978027344,58.3101
"2025-12-10",2025-12-10,687.570007324219,85.6713
"2025-12-11",2025-12-11,689.169982910156,86.1737
"2025-12-12",2025-12-12,681.760009765625,113.1603
"2025-12-15",2025-12-15,680.72998046875,90.811
"2025-12-16",2025-12-16,678.869995117188,122.0306
"2025-12-17",2025-12-17,671.400024414062,110.6252
"2025-12-18",2025-12-18,676.469970703125,108.6501
"2025-12-19",2025-12-19,680.590026855469,103.5995
"2025-12-22",2025-12-22,684.830017089844,69.5567
"2025-12-23",2025-12-23,687.960021972656,64.84
"2025-12-24",2025-12-24,690.380004882812,39.4456
"2025-12-26",2025-12-26,690.309997558594,41.6133
"2025-12-29",2025-12-29,687.849975585938,62.5595
"2025-12-30",2025-12-30,687.010009765625,47.1607
"2025-12-31",2025-12-31,681.919982910156,74.1448
"2026-01-02",2026-01-02,683.169982910156,89.3772
"2026-01-05",2026-01-05,687.719970703125,71.9272
"2026-01-06",2026-01-06,691.809997558594,69.2738
"2026-01-07",2026-01-07,689.580017089844,75.5883
"2026-01-08",2026-01-08,689.510009765625,64.0192
"2026-01-09",2026-01-09,694.070007324219,80.1255
"2026-01-12",2026-01-12,695.159973144531,63.976
"2026-01-13",2026-01-13,693.77001953125,78.3097
"2026-01-14",2026-01-14,690.359985351562,94.6767
"2026-01-15",2026-01-15,692.239990234375,77.862
"2026-01-16",2026-01-16,691.659973144531,79.2892
"2026-01-20",2026-01-20,677.580017089844,111.6233
"2026-01-21",2026-01-21,685.400024414062,127.8445
"2026-01-22",2026-01-22,688.97998046875,77.1122
"2026-01-23",2026-01-23,689.22998046875,63.0596
"2026-01-26",2026-01-26,692.72998046875,60.4738
"2026-01-27",2026-01-27,695.489990234375,55.5061
"2026-01-28",2026-01-28,695.419982910156,61.1722
"2026-01-29",2026-01-29,694.039978027344,97.4862
"2026-01-30",2026-01-30,691.969970703125,101.8351
"2026-02-02",2026-02-02,695.409973144531,79.2865
"2026-02-03",2026-02-03,689.530029296875,107.9046
"2026-02-04",2026-02-04,686.190002441406,105.2046
"2026-02-05",2026-02-05,677.619995117188,113.6108
"2026-02-06",2026-02-06,690.619995117188,89.1276
"2026-02-09",2026-02-09,693.950012207031,73.8852
"2026-02-10",2026-02-10,692.119995117188,65.1857
"2026-02-11",2026-02-11,691.960021972656,76.3539
"2026-02-12",2026-02-12,681.27001953125,118.829
"2026-02-13",2026-02-13,681.75,96.2675
"2026-02-17",2026-02-17,682.849975585938,81.3547
"2026-02-18",2026-02-18,686.289978027344,73.5703
"2026-02-19",2026-02-19,684.47998046875,58.6494
"2026-02-20",2026-02-20,689.429992675781,100.034
"2026-02-23",2026-02-23,682.390014648438,90.5581
"2026-02-24",2026-02-24,687.349975585938,73.7987
"2026-02-25",2026-02-25,693.150024414062,56.3695
"2026-02-26",2026-02-26,689.299987792969,71.671
"2026-02-27",2026-02-27,685.989990234375,83.3089
"2026-03-02",2026-03-02,686.380004882812,87.4772
"2026-03-03",2026-03-03,680.330017089844,105.0031
"2026-03-04",2026-03-04,685.130004882812,79.1822
"2026-03-05",2026-03-05,681.309997558594,106.6065
"2026-03-06",2026-03-06,672.380004882812,100.687
"2026-03-09",2026-03-09,678.27001953125,102.6677
"2026-03-10",2026-03-10,677.179992675781,81.5053
"2026-03-11",2026-03-11,676.330017089844,68.4417
"2026-03-12",2026-03-12,666.059997558594,108.8822
